Marca;Modelo Base;Ano Modelo;Valor medio;;;;;;
VW - VolksWagen;up!;2020;65.002,23;;;;;;
VW - VolksWagen;up!;2017;42.813,04;;;;;;
VW - VolksWagen;up!;2022;52.162,34;;;;;;
VW - VolksWagen;up!;2019;52.924,20;;;;;;
VW - VolksWagen;up!;2018;52.342,88;;;;;;
VW - VolksWagen;up!;2021;78.491,80;;;;;;
VW - VolksWagen;VIRTUS;2022;86.392,36;;;;;;
VW - VolksWagen;VOYAGE;2022;59.921,76;;;;;;
VW - VolksWagen;VOYAGE;2017;38.690,91;;;;;;
VW - VolksWagen;VOYAGE;2018;45.285,32;;;;;;
